field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24,geom,123
KEN-MCK-025,KEN-MCK-025,Machakos,Makueni Border - Nol Turesh Pipeline,1/1/2017,12/31/2024,"The Nol Turesh pipeline, drawing water from Mt. Kilimanjaro in Kajiado County, serves Machakos and Makueni counties. Kajiado accused Machakos of sidelining the Maasai community in water access despite the dam being in Kajiado.",Water-Land,Inter-County Water Pipeline Conflict,Kajiado County; Machakos County; Makueni County; Maasai Community; WRMA; Ministry of Water,"The Nol Turesh (also Nolturesh) River dam at the foot of Mt. Kilimanjaro in Kajiado County provides water through a pipeline to Machakos and Makueni counties, as well as parts of Kajiado itself. Academic research by Githaiga and Muchiri (2017) documented",Academic Study (Githaiga & Muchiri 2017); Journal of CMSD; Nation Media,https://journalofcmsd.net/wp-content/uploads/2022/06/Managing-Water-Scarcity-in-Kajiado-County.pdf,Academic; Print/Online News,-2.65,37.48,0,0,Administrative - WRMA Inter-County Arbitration,Ongoing,"Nol Turesh, Kajiado, Machakos, Makueni, Maasai, inter-county, water pipeline, Mt Kilimanjaro, vandalism, WRMA",Yes,0.87,Academic study directly cited.,,
KEN-TRK-028,KEN-TRK-028,Turkana,Lomelo - Turkana North,1/1/2021,12/31/2021,"A group of approximately 50 armed Pokot militia ambushed a civilian police truck near Lomelo village in Turkana North, 25 miles northwest of Kapedo. A 13-year-old boy was among those on the truck.",Water-Land,Civilian Ambush - Pastoral Water Conflict,Pokot Militia; Turkana Civilians; Kenya Police,"The New Lines Magazine published a detailed report (November 2023) on the conflict in northern Kenya. In one documented incident near Lomelo village, 25 miles northwest of Kapedo, a swarm of nearly 50 armed Pokot militia ambushed a militarized police tru",New Lines Magazine,https://newlinesmag.com/reportage/northern-kenyas-unending-battle-with-banditry-and-cattle-rustling/,Investigative Journalism,1.215,36,Unknown,Unknown,Criminal Investigation - Police,Unresolved,"Lomelo, Pokot militia, ambush, Turkana North, civilian truck, armed attack, 50 militia, 13-year-old",Yes,0.88,New Lines Magazine directly cited.,,
KEN-KBU-028,KEN-KBU-028,Kiambu,Thika - Sagana Road Corridor,1/1/2013,12/31/2022,"Farmers along the Sagana Road corridor in Thika built unauthorized diversion structures on seasonal rivers, reducing water flows used by downstream communities and creating conflicts arbitrated by WRMA.",Water-Land,Seasonal River - Agricultural Diversion Conflict,Sagana Road Farmers; Thika Municipality; WRMA; Tana Water Services Board,"The Sagana Road corridor in Thika, Kiambu County passes through productive agricultural land irrigated by seasonal rivers originating in the Aberdare Range. From 2013, WRMA documented that multiple farmers had constructed unauthorized diversion weirs and",WRMA; Tana Water Services Board; Standard Media,https://wrma.go.ke,Regulatory; Government,-1.033,37.066,0,0,WRMA Enforcement - Structure Removal Orders,Partially Resolved,"Sagana Road, Thika, seasonal river, irrigation diversion, WRMA, Tana Water Services, unauthorized structure, Kiambu",Yes,0.73,Referenced in WRMA Tana Basin enforcement records.,,
KEN-KBU-030,KEN-KBU-030,Kiambu,Kiambu - Northern Collector Tunnel,1/1/2013,12/31/2024,"The Northern Collector Tunnel project, diverting water from Mount Kenya forests to supplement Nairobi's supply, required land acquisition across Kiambu that generated community conflicts over compensation and water rights.",Water-Land,Water Tunnel - Land Acquisition Conflict,Northern Collector Tunnel Project; Murang'a Community; Kiambu Community; NLC; Nairobi City Water,"The Northern Collector Tunnel (NCT) is a major water infrastructure project diverting water from Mount Kenya forest streams through a tunnel to supplement Nairobi's water supply system. The project was developed in phases from 2013, with Phase 1 tunnelli",Huduma Global; NLC; NCWSC; Nation Media,https://hudumaglobal.com/blog/water-sanitation-kenya-crisis-solutions-water-rights,Government; Regulatory; Print/Online News,-0.7,36.85,0,Unknown,Active - NLC Compensation Review,Ongoing,"Northern Collector Tunnel, Mount Kenya, Kiambu, Murang'a, water diversion, NLC, compulsory acquisition, NCWSC",Yes,0.82,Huduma Global and NLC cited.,,
KEN-TRK-038,KEN-TRK-038,Turkana,Turkana East - Baragoi-Turkana Corridor,11/13/2012,12/31/2024,The November 2012 Baragoi Massacre -” in which Samburu warriors killed over 40 Kenyan police officers responding to a Turkana-Samburu cattle raid -” marked a peak of violence in the contested water-pasture corridor.,Water-Land,Cross-County Pastoral Conflict - Samburu-Turkana,Turkana Warriors; Samburu Warriors; Kenya Police; Kenya Army,"The ACCORD study 'From Cattle Raids to Violence: A Processual Analysis of the Baragoi Massacre in Northern Kenya' documented that in November 2012, a sequence of inter-communal cattle raids between Samburu and Turkana escalated catastrophically. Turkana",ACCORD; Nation Media; Kenya Human Rights Commission,https://www.accord.org.za/conflict-trends/from-cattle-raids-to-violence-a-processual-analysis-of-the-baragoi-massacre-in-northern-kenya/,Academic; Print/Online News; NGO,1.7864,36.7901,42+,5000+,Post-Incident Investigation,Partially Resolved,"Baragoi Massacre, Samburu, Turkana, 2012, cattle raid, police killed, Operation Rudisha Ngombe, ACCORD",Yes,0.93,ACCORD directly cited. High-profile documented incident.,,
KEN-TRK-039,KEN-TRK-039,Turkana,Turkana North - Todonyang Borderlands,1/1/2010,12/31/2024,Ambiguity in the boundary between Turkana and Marsabit counties in the Lake Turkana northern region created conflicts between fishing communities from each county over fishing territories on the lake.,Water-Land,Intra-Kenya Cross-County Fishing Conflict,Turkana Fishers; Marsabit County Fishers; Kenya Fisheries Service; County Boundary Commission,The boundary between Turkana and Marsabit counties in the Lake Turkana northern region is disputed in several sections. Fishing communities from both counties claim fishing territory on the lake in the overlapping zone near Todonyang and the Omo River de,Kenya Fisheries Service; County Boundary Commission; Nation Media,https://fisheries.go.ke,Government; Regulatory; Print/Online News,4.5,36,2,Unknown,Administrative - Boundary Review,Ongoing - Unresolved,"Todonyang, Turkana, Marsabit, county boundary, fishing territory, Lake Turkana, Fisheries Service, intra-Kenya",Yes,0.76,Referenced in Kenya Fisheries Service Lake Turkana management records.,,
KEN-MCK-033,KEN-MCK-033,Machakos,Masinga - Kiambere Corridor,1/1/2009,12/31/2020,Communities living near the Kiambere Reservoir on the upper Tana River in the Machakos-Kitui boundary contested displacement and inadequate compensation from the reservoir's expansion and management restrictions.,Water-Land,Hydroelectric Reservoir - Community Displacement,Kiambere Dam Community; KenGen; NLC; Machakos Community,"The Kiambere Hydroelectric Power Station, operated by KenGen as part of the Seven Forks cascade, has a reservoir that borders Machakos County's northeastern edge. Communities in the Kiambere reservoir buffer zone were subject to land use restrictions and",KenGen; NLC; WRMA; Nation Media,https://kenyalaw.org,Government; Regulatory; Court,-0.78,37.8982,0,Unknown,NLC Review - Compensation Dispute,Ongoing - Partially Resolved,"Kiambere, reservoir, KenGen, displacement, compensation, Machakos, NLC, buffer zone, energy infrastructure",Yes,0.78,Referenced in KenGen and NLC community relations documentation.,,
NBI-008,NBI-008,Nairobi,"Westlands / CBD (Ukay Mall, South End Mall, Gateway Mall)",7/1/2018,12/31/2020,"Three major Nairobi shopping malls demolished for riparian encroachment; 4,000+ buildings in Nairobi county slated for demolition",Riparian Land Conflict,Commercial Demolition,"NEMA, Nairobi County Govt, mall owners and tenants","In 2018, a marked increase in demolitions on riparian land in Nairobi resulted in the demolition of Ukay Mall, South End Mall, and Gateway Mall. The government cited the Environment Management and Coordination Act and riparian buffer zone rules. More tha",ROAPE; Daily Nation,https://roape.net/2022/11/01/demolition-colonialism-in-nairobi/; https://nation.africa/kenya/life-and-style/dn2/the-riparian-dilemma-and-why-the-zones-matter-120232,News / Academic,-1.316,37,0,Multiple commercial tenants,Government-ordered demolition; selective legal enforcement noted,Partially demolished,riparian Nairobi mall demolition 2018 2019 2020 NEMA commercial,High,0.91,2018 wave is documented as first major riparian enforcement push,,
NBI-009,NBI-009,Nairobi,Runda Estate,5/1/2024,6/30/2024,Upscale Runda estate and Lord Eroll Hotel flooded but exempt from demolitions; staff used boats while nearby informal areas bulldozed,Riparian Land Conflict,Unequal Enforcement,"Lord Eroll Hotel management, Nairobi County, NMS","During the May 2024 flood and eviction crisis, Lord Eroll Hotel in Runda—built on riparian land—was not targeted for demolition. Staff navigated the flooded compound by boat while demolition crews worked nearby. The hotel management refused media int",Daily Nation; Al Jazeera,https://nation.africa/kenya/counties/nairobi/flood-demolitions-a-tale-of-two-laws-for-rich-and-poor-4616638; https://www.aljazeera.com/news/2024/5/1/blame-the-government-kenyans-bemoan-lack-of-support-amid-record-flooding,News,-1.22,36.82,0,Not evicted (unequal enforcement),No formal action taken against hotel,Hotel continued operating; enforcement gap documented,Runda Nairobi flood riparian hotel unequal enforcement 2024 selective demolition,High,0.93,Emblematic of class-based enforcement disparity in Nairobi riparian crackdown,,
NBI-010,NBI-010,Nairobi,Nairobi River / Athi Catchment (Loresha Reservoir),1/1/2015,6/30/2016,Private developer fences off Loresha Reservoir in Athi catchment area; forcibly evicted by presidential intervention,Water Catchment Grab,Land Grab of Public Water Reservoir,"Private developer (foreign origin), Nairobi City Water & Sewerage Co, President Kenyatta","A reservoir in the Athi Catchment area (Nairobi region) was subject to a reported land grab by a private entity. Although the reservoir was leased to the Nairobi City Water and Sewerage Company, a Kenyan developer of foreign origin negotiated with a loca",Navarra Centre for International Development,https://ncid.unav.edu/en/news/water-provision-kenya-problems-and-challenges-managing-finite-resources,Academic,-1.25,36.75,0,Public water supply threatened,Resolved via presidential intervention,Developer evicted; reservoir returned to NCWSC,water catchment grab Loresha reservoir Nairobi Athi 2015 2016,High,0.87,Documented in January 2016 NCID report,,
NBI-011,NBI-011,Nairobi,Kibera (Kianda Village),1/1/2009,12/31/2011,Kibera water vendor system creates extortion and violence; deaths recorded over water jerrican disputes,Water Access Conflict,Water Vendor Violence,"Water vendors, Kibera residents, Nairobi City Council","In Kibera, the absence of piped water created a predatory water vending ecosystem. Young unemployed youth would tap water pipes illegally and sell water to residents at 10x the meted rate. Theft and illegal disconnections of pipes were everyday occurrenc",FairPlanet,https://www.fairplanet.org/dossier/water-2/failed-rains-spark-kenyas-water-wars/,News / Investigative,-1.31,36.79,Multiple deaths (national trend),Not quantified,Not reported to police / informal resolution,Structural problem persists,water vendor violence Kibera Nairobi 2009 2011 conflict death jerrican,Medium,0.8,Individual case documented within national water conflict trend,,
NBI-012,NBI-012,Nairobi,Mathare (Baba Dogo area),3/1/2024,5/13/2026,Raw sewage dumped into Mathare River causes ecosystem damage; floods and demolitions displace tens of thousands,Water/Land Conflict,Pollution and Displacement,"Mathare residents, Nairobi County, industries upstream","Raw sewage is dumped into the Mathare River streets or directly into the river, causing immense damage to the ecosystem and health of residents. The Ecological Justice Network (linked to MSJC) documented that pollution has penetrated the soil and even in",The New Humanitarian; Jacobin,https://www.thenewhumanitarian.org/news-feature/2026/04/20/after-floods-gbv-women-kenya-informal-settlements; https://jacobin.com/2026/05/kenya-floods-government-inaction-deaths,News / NGO Report,-1.26,36.86,Not fully tallied,"200,000+ (2024 cumulative)",Ongoing; Nairobi River Regeneration Programme underway,No adequate resettlement; women disproportionately harmed,Mathare Nairobi river flood 2026 GBV displacement pollution informal settlement,High,0.93,Documented through April 2026; linked to 2024 El Niño floods,,
NBI-013,NBI-013,Nairobi,Gigiri,5/1/2024,6/30/2024,Prestigious hotel in Gigiri built on riparian land of Nairobi River continues operating undemolished while surrounding informal structures are cleared,Riparian Land Conflict,Selective Enforcement / Luxury Development,"Nairobi County, prestigious hotel management","While informal settlements across Nairobi were bulldozed for riparian encroachment after the May 2024 floods, a prestigious hotel in Gigiri—built on riparian land—remained intact. Staff navigated the flooded grounds by boat while the government const",ICFI / Erasmus University,https://www.icfi.nl/news/nairobis-double-disaster-floods-and-forced-evictions; https://www.eur.nl/en/news/nairobis-double-disaster-floods-and-forced-evictions,Academic,-1.2326,36.8153,0,Not evicted,No formal action against hotel,Selective enforcement documented; no policy change,Gigiri hotel riparian Nairobi 2024 flood selective enforcement luxury,High,0.89,Documented by Masters student researcher from Erasmus in May-June 2024 field visit,,
NBI-017,NBI-017,Nairobi,Mukuru kwa Njenga,1/1/2021,12/31/2024,Mukuru informal settlement faces chronic water pollution and access crisis; residents pay extortion to actors claiming land ownership,Water/Land Conflict,Pollution and Water Access,"Mukuru residents, industrial polluters, Nairobi County","Mukuru kwa Njenga residents reported being extorted by a company claiming ownership of the land, with receipts of payment shown to researchers. The settlement suffered chronic water pollution from industrial effluents. Following the 2021 evictions relate",ROAPE,https://roape.net/2024/07/19/first-came-the-floods; https://roape.net/2022/11/01/demolition-colonialism-in-nairobi/,Academic / Investigative,-1.315,36.885,0,"40,000+ (2021 eviction)",Extortion not formally prosecuted; ongoing tenure insecurity,Residents returned; structural conflict unresolved,Mukuru Nairobi water land conflict eviction 2021 2024 extortion pollution,High,0.9,Documented across multiple ROAPE analyses,,
NBI-018,NBI-018,Nairobi,Ongata Rongai,2/1/2024,2/28/2024,"Human-animal conflict at Ongata Rongai riparian zone; two students attacked by hyena near dam, child killed collecting firewood",Riparian / Human-Wildlife Water Conflict,Resource Competition at Riparian Zones,"Rongai residents, livestock herders, wildlife (hyena)","In February 2024, two students were attacked by a hyena at 6pm in Ongata Rongai, a satellite town in the Nairobi Metropolitan Area. A child was killed near a dam while collecting firewood and was dragged towards Saitoti bridge. Clothing and body parts we",MDPI Land Journal (2024),https://www.mdpi.com/2073-445X/13/7/913,Peer-reviewed Academic,-1.39,36.75,1 child killed; 2 students injured,Not quantified,Not formally investigated as land-water conflict,Ongoing; ecosystem degradation continues,Ongata Rongai human wildlife water conflict riparian 2024 hyena dam Nairobi Metropolitan,High,0.92,Documented in MDPI peer-reviewed study on Nairobi riparian zones (June 2024),,
KMB-002,KMB-002,Kiambu,Limuru (Manguo Swamp),1/1/2010,12/31/2023,Manguo swamp near Limuru dries up due to land use changes; water crisis threatens 40km-radius from Nairobi,Wetland Degradation / Water Conflict,Loss of Water Source / Land Use Change,"Local herders, Kiambu County Water Dept, land developers","The Manguo swamp near Limuru town, about 40km from Nairobi, along the Nairobi-Nakuru highway, has been reduced to a barren depression roughly seven football fields long and four across. Herders and their flocks now graze in what was once a productive wet",Mongabay,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Investigative Journalism,-1.116,36.65,0,Entire Kiambu county (2nd most populous in Kenya),Ongoing; county government declared water crisis,Situation worsening; no resolution,Manguo swamp Limuru Kiambu water crisis drought 2023 Aberdare wildfire,High,0.93,Documented by Mongabay in April 2023,,
KMB-003,KMB-003,Kiambu,Kiambu County (multiple locations),1/1/2003,12/31/2024,"Kihiu Mwiri Ranching Company records 100+ deaths over two decades in violent clashes over land control; cartels involving police, military, politicians, judiciary implicated",Land Conflict,Ranching Company Land Disputes,"Kihiu Mwiri Ranching Company factions, land cartels, county officials",Kihiu Mwiri Ranching Company in Kiambu County has recorded more than 100 deaths over the past two decades as rival factions clashed violently over land control. Lands Cabinet Secretary Alice Wahome acknowledged the existence of cartels that specialise in,Daily Nation,https://nation.africa/kenya/weekly-review/hotspots-of-kenya-s-deadly-land-disputes--5036208,News / Investigative,-0.98,36.72,100+ deaths over 20 years,Hundreds of shareholders,Multiple ongoing court cases,Pattern of violence continues; cartels largely unprosecuted,Kihiu Mwiri Ranching Company Kiambu land conflict cartel deaths 2003 2024,High,0.9,Documented by Daily Nation investigative team 2023-2024,,
KMB-004,KMB-004,Kiambu,Lari/Mithini Scheme,1/1/2010,12/31/2024,"Mithini land scheme: 1,500 shareholders fight over 7,000 acres as cartels threaten evictions",Land Conflict,Shareholder Eviction Dispute,"1,500 shareholders, land cartels, county administrators","In the Mithini land scheme in Kiambu County, 1,500 shareholders are fighting for control of 7,000 acres, with eviction threats looming as cartels seek to take over. The scheme is one of several in Kiambu where politically connected cartels have fraudulen",Daily Nation; Avenue Valuers,https://nation.africa/kenya/weekly-review/hotspots-of-kenya-s-deadly-land-disputes--5036208; https://avenuevaluers.co.ke/land-grabbing-in-kenya-causes-methods-real-cases-and-how-to-protect-yourself/,News / Analysis,-1.05,36.9,Not specified,"1,500 shareholders at risk",Ongoing disputes; NLC investigation underway,Unresolved,Mithini scheme Kiambu land conflict shareholder eviction cartel 2010 2024,High,0.88,Part of broader Kiambu ranching land conflict investigation,,
KMB-005,KMB-005,Kiambu,Kiambu County (Aberdare catchment),2/1/2023,4/30/2023,"40,000+ acres of Aberdare Forest destroyed by wildfire February 2023; rivers drying and water crisis escalating in Kiambu",Water Catchment Conflict,Wildfire and Water Source Destruction,"Kenya Forest Service, private encroachers, Kiambu County Water Department","In February 2023, more than 40,000 acres of the Aberdare Forest—Kiambu County's primary water catchment—was destroyed by wildfire, further threatening the area's water supplies. Rivers originating from the southern Aberdare Forest, most of which were",Mongabay,https://news.mongabay.com/2023/04/drying-wetlands-and-drought-threaten-water-supplies-in-kenyas-kiambu-county/,Investigative Journalism,-0.45,36.74,0,Entire Kiambu County water supply,Kenya Forest Service investigating; no compensation to communities,Water scarcity worsening,Aberdare wildfire Kiambu water crisis 2023 forest catchment Kenya,High,0.94,Primary source: Mongabay April 2023 investigation,,
TRK-003,TRK-003,Turkana,Loiyangalani / South Horr (Lake Turkana Wind Power area),1/1/2017,12/31/2024,Lake Turkana Wind Power project centralises land control and marginalises pastoralist communities; sparks claims and contestation,Land/Water Conflict,Displacement by Large Resource Project,"Lake Turkana Wind Power consortium, Turkana County Govt, Samburu and Turkana pastoralists","The Lake Turkana Wind Power (LTWP) project in Loiyangalani area of Turkana triggered new tensions and struggles. A 2024 ScienceDirect study found the project centralized land control, marginalizing pastoralist populations at the state's periphery. A reva",ScienceDirect / Journal of Rural Studies,https://www.sciencedirect.com/science/article/pii/S0305750X2400384X,Peer-reviewed Academic,2.49,-36.79,Not formally quantified,Thousands of pastoralists in LTWP area,Legal and political contestation ongoing,No formal resolution; green energy vs pastoral rights unresolved,Lake Turkana Wind Power land conflict pastoralist marginalization Loiyangalani 2017 2024,High,0.93,"Peer-reviewed study in Journal of Rural Studies, published Jan 2025",,
