Record_ID,County,Date_Start,Incident_Summary,Source_Name
KEN-MCK-032,Machakos,1/1/2010,"Farming in the upper Tana catchment flowing into Masinga Dam reduced water quality and quantity for Kenya's largest hydroelectric dam, creating a systemic land-water conflict between energy needs and agricultural livelihoods.",KenGen; WRMA; NLC; Nation Media
KEN-MCK-032,Machakos,1/1/2017,"EPZA industrial tenants in the Athi River Export Processing Zone required large water volumes, competing with Mavoko Water and Sewerage Company's ability to meet growing residential demand.",WRMA; EPZA; Mavoko Water and Sewerage Company; Nation Media
KEN-MCK-033,Machakos,1/1/2009,Communities living near the Kiambere Reservoir on the upper Tana River in the Machakos-Kitui boundary contested displacement and inadequate compensation from the reservoir's expansion and management restrictions.,KenGen; NLC; WRMA; Nation Media
KEN-MCK-033,Machakos,1/1/2000,"Land sold by British American Tobacco (BAT) in the early 1990s in Athi River became subject to cartel activity, with legitimate purchasers unable to access their properties due to cartel-hired gangs.",Daily Nation
KEN-MCK-034,Machakos,1/1/2010,"Unsustainable sand harvesting from the Athi River bed in Machakos County has lowered the riverbed, reduced groundwater availability, and undermined riverbank structures, creating conflicts with downstream water users and farmers.",NEMA; WRMA; GRIN Academic Study; Nation Media
KEN-MCK-034,Machakos,1/1/2010,"Unregulated and licensed sand harvesting from the Athi River bed and banks in Machakos County destabilized banks, caused river course migration, and generated conflicts with riparian landowners.",NEMA; WRMA; Water Action Hub; Standard Media
KEN-MCK-035,Machakos,1/1/2018,"A joint community water project serving Kambu and Kola villages in Machakos County became a source of intra-community conflict over management, cost-sharing, and access scheduling.",Machakos County Water Department; Area Chief Records
KEN-MCK-035,Machakos,1/1/2018,"Illegal sand harvesting pits left open along Mwala's seasonal rivers became waterlogged during rains, providing breeding grounds for malaria mosquitoes, creating a public health land-water conflict.",Machakos County Public Health; County Assembly Records; NEMA
KEN-NBI-037,Nairobi,1/1/2019,"A 7-acre wetland in Kileleshwa known as Dik Dik Gardens was subdivided into 17 private titled plots, threatening its function as primary water source for Kirichwa Ndogo River. WRA gazetted it as a Conservation Area in October 2021 under Legal Notice 206/2021.",Kenya Gazette Supplement No. 187 - Legal Notice 206/2021
KEN-NBI-037,Nairobi,4/1/2024,The High Court ruled that forced evictions and demolitions in Mathare and Gwa Kairu slums following the April 2024 floods were illegal and unconstitutional. Government ordered to compensate displaced residents.,Standard Media; Citizen Digital
KEN-NBI-038,Nairobi,1/1/2025,"Governor Sakaja announced active clearance of Kirichwa Kubwa River corridor encroachments in Kilimani in 2025, with the governor directly quoted warning planners that no property owner on riparian land would be exempted.",Eastleigh Voice
KEN-NBI-038,Nairobi,4/1/2024,Mukuru Kwa Ruben residents were forcibly evicted following April 2024 floods. High Court declared evictions unconstitutional and ordered compensation. Residents had lived there for decades on privately owned land.,Standard Media; SDI; Akiba Mashinani Trust; HIC-GS
KEN-NBI-039,Nairobi,1/1/2019,29 private landowners on Kiambu/Lari parcels challenged WRA's conservation designation of Lari Swamp - a 244.66-hectare wetland feeding Ruiru River - in ELC Case E009 of 2023. WRA countered that the swamp is a critical water source for greater Nairobi environs.,Kenya Law Reports
KEN-NBI-039,Nairobi,4/1/2024,Kiamaiko residents forcibly evicted after April 2024 floods. High Court ruled evictions illegal. Justice Mogeni ordered government compensation for loss of property. Residents left homeless without alternative shelter.,Standard Media; Hakijamii; Citizen Digital
KEN-NBI-040,Nairobi,10/11/2021,"November 2021 violent forced eviction at Mukuru Kwa Njenga along Catherine Ndereba Road displaced hundreds. NMS arrived without warning, demolishing homes beyond the designated road corridor. 40,000 residents at risk.",HIC-GS; Amnesty Kenya; The Guardian; Standard Media
KEN-NBI-040,Nairobi,1/1/2022,A Westlands family was evicted from their home of 46 years after a rival claimant obtained an ELC eviction order. The family lacked formal title despite decades of occupation. Documented in TI Kenya's 2025 housing rights review.,Standard Media; Tuko.co.ke; TI-Kenya Housing Rights Review (2025)
KEN-NBI-041,Nairobi,1/1/2018,"The Nubian community of Kibera challenged eviction by KURA for the Southern Bypass road construction, claiming Kibera is their ancestral land. High Court temporarily barred KURA from eviction. Court heard on 18 October (year approximate).",HLRN; High Court Kenya; The Conversation; Kenya Urban Roads Authority
KEN-NBI-041,Nairobi,4/30/2024,"Following the April 2024 floods, Cabinet issued orders requiring all residents of risk-prone and riparian areas to move out. Amnesty Kenya issued a solidarity statement condemning the evictions of informal settlement residents.",TI Kenya; Amnesty Kenya; Government of Kenya
KEN-NBI-042,Nairobi,1/1/2015,Residents of Deep Sea informal settlement in Westlands have faced continuous threat of eviction due to tenure insecurity. Hakijamii documented the settlement as part of the systemic crisis of land-water conflict in Nairobi informal settlements.,Hakijamii
KEN-NBI-042,Nairobi,1/1/2015,"Commercial activities in Eastleigh discharged untreated wastewater and solid waste into the Mathare River corridor, causing land devaluation, flooding, and public health conflicts in Mathare Valley downstream.",NEMA; Nation Media; Standard Media
KEN-NBI-043,Nairobi,1/1/2018,A developer in the Karen Hardy area sought to drain and develop a wetland connected to the Ngong River system. Karen residents and NEMA challenged the development on environmental grounds.,NEMA; NLC; Standard Media; Karen Residents Association
KEN-NBI-043,Nairobi,1/1/2019,"Construction of the Southern Bypass through Kibera altered drainage patterns, causing downstream flooding in sections of the slum previously unaffected. Compensation for affected residents remained disputed.",KENHA; Kenya Red Cross; Standard Media
KEN-NBI-044,Nairobi,4/24/2024,"On 24 April 2024 the Mathare River burst its banks due to heavy rainfall, killing dozens of residents. The disaster triggered the national riparian eviction policy and the KSh 50 billion Nairobi River Regeneration Programme.",Standard Media; Nation Media; Kenya Red Cross
KEN-NBI-044,Nairobi,1/1/2004,"The Nairobi River between Ngara and Eastleigh has been completely encroached by informal and formal structures, with the river reduced to a polluted drain. Disputes arise over eviction, environmental enforcement, and water quality.",NEMA; Daily Nation; Standard Media
KEN-NBI-045,Nairobi,1/1/2010,"Waithaka and Kawangware informal settlements, identified in academic studies as having relatively more secure land tenure than other Nairobi slums, nonetheless faced riparian encroachment conflicts particularly along the Nairobi River tributaries.",World Bank/IGAD Academic Study; NLC; Nation Media
KEN-NBI-045,Nairobi,1/1/2015,"Factories in the Nairobi Industrial Area discharge effluent into drainage channels flowing through Mukuru kwa Njenga, contaminating water sources used by informal settlement residents and adding to flooding risk.",NEMA; Kenya Human Rights Commission; Nation Media
KEN-NBI-046,Nairobi,1/1/2008,"Residents of Mukuru Sinai faced eviction by Kenya Pipeline Company which planned to expand its petroleum pipeline. Residents had built on both sides of the pipeline without legal title, complicating compensation and relocation.",SDI; Pamoja Trust; Muungano wa Wanavijiji
KEN-NBI-046,Nairobi,4/1/2022,"Blocked storm drainage channels in the Nairobi CBD regularly flood Tom Mboya Street and adjacent commercial streets due to illegal solid waste dumping into drainage inlets by vendors, creating recurring land-water use conflicts.",KURA; NEMA; Nation Media; Standard Media
KEN-NBI-047,Nairobi,1/1/2021,"Rapid high-density development in South C overwhelmed the area's sewage infrastructure, causing chronic sewage backups into residential properties and creating land-water use conflicts between residents and NCWSC.",NCWSC; Standard Media; South C Residents Association
KEN-NBI-047,Nairobi,1/1/2012,"Residents of Mathare paid exploitative prices to private water vendors due to inadequate piped water supply, creating a water access conflict that intersects with the land tenure insecurity of the informal settlement.",SDI; NCWSC; Nation Media; Hakijamii
KEN-NBI-048,Nairobi,1/1/2010,"The Dandora dumpsite, one of the largest open landfills in East Africa, leaches toxic fluids into the Nairobi River and adjacent aquifers, contaminating water for communities in Ruai, Dandora, and downstream Machakos.",NEMA; Community Health Reports; Nation Media; Academic Literature
KEN-NBI-048,Nairobi,1/1/2009,Residents of Korogocho settled on land that was later discovered to be a reserved road reserve and drainage corridor. Eviction attempts by KENHA were resisted by residents backed by civil society groups.,KENHA; Nation Media; Civil Society Documentation
KEN-NBI-049,Nairobi,1/1/2017,"The Pangani Slum Upgrading Project in Mathare North displaced residents to make way for formal housing, but water infrastructure conflicts arose between the developer, displaced residents, and the county.",Nation Media; Standard Media; Amnesty International
KEN-NBI-049,Nairobi,1/1/2019,"Gikomba Market, Africa's largest second-hand clothes market, has encroached on the Nairobi River bank near Ngara Bridge, with market waste and stalls directly on the riparian zone, contributing to chronic flooding and river pollution.",Nairobi River Cleanup Partnership; NEMA; Nation Media
KEN-NBI-050,Nairobi,1/1/2017,"Inadequate NCWSC supply to dense Pumwani and Eastleigh areas created a water vending ecosystem with conflicts over metering, pricing, and landlords using water shutoffs as leverage in rent disputes.",NCWSC; Nation Media; Nairobi Human Rights Commission
KEN-NBI-050,Nairobi,1/1/2016,"Several River Road buildings in central Nairobi were found to be built over underground tributaries of the Nairobi River, causing structural subsidence. NLC investigated title deeds while NEMA raised environmental concerns.",Nation Media; NLC; Standard Media
KEN-NBI-051,Nairobi,1/1/2020,"Collapse of the NCWSC sewer main in Riruta Satellite caused raw sewage to flow into the Nairobi River's upper reaches and onto adjacent residential land, creating health and property conflicts.",NCWSC; NEMA; Standard Media
KEN-NBI-051,Nairobi,1/1/2004,"The northern branch of the Nairobi River flowing through Kasarani and Roysambu has been progressively encroached by residential and commercial developments over two decades, contributing to flooding and water quality conflicts.",Daily Nation; NEMA; Standard Media
KEN-NBI-052,Nairobi,1/1/2021,"Severe water shortage in Pangani triggered conflicts between landlords drilling unlicensed boreholes for apartment buildings and NCWSC, which reported reduced flows partially attributable to private borehole competition drawing down the shared aquifer.",WRMA; NCWSC; Standard Media
KEN-NBI-052,Nairobi,1/1/2012,The Ngong Road Forest on Nairobi's southwestern edge faced excision attempts by politically connected land grabbers. The forest serves as a critical water catchment for Nairobi's southern drainage. Civil society interventions blocked most excisions.,KFS; NLC; NEMA; Nation Media; Civil Society
KEN-NBI-053,Nairobi,1/1/2016,"Prior to the 2021 WRA gazettement of Dik Dik Gardens as a Conservation Area, a multi-year conflict between private title holders of the subdivided wetland and public interest institutions including WRA, NEMA, and the Nairobi County Environmental Department remained unresolved.",Kenya Gazette LN 206/2021
KEN-NBI-053,Nairobi,1/1/2015,"Sand and gravel harvesting from rivers in the Utawala-Joska area on the Nairobi-Machakos border destabilized riverbanks, caused flooding, and created legal land boundary conflicts.",NEMA; Nairobi County; Machakos County; Standard Media
KEN-NBI-054,Nairobi,1/1/2020,"A developer in Umoja-Mwiki constructed a warehouse that partially blocked a KENHA storm drainage easement, causing upstream flooding of residential properties during every rain season since 2020. Legal proceedings were ongoing as of 2024.",KENHA; Standard Media; Nairobi County
KEN-NBI-054,Nairobi,1/1/2008,"Industrial Area firms along the Nairobi River south bank have occupied the river's riparian reserve for storage yards, parking, and effluent channels, creating a systemic land-water conflict with regulatory authorities.",NEMA; Daily Nation; Standard Media
KEN-TRK-026,Turkana,2/13/2023,"Operation Maliza Uhalifu launched 13 February 2023 in North Rift following a 77% increase in pastoralist militia violence in Q1 2023 vs late 2022. By Q4 2023, ACLED recorded over 90% fall in militia events in Turkana County.",ACLED; ReliefWeb; The New Humanitarian; ICG
KEN-TRK-026,Turkana,5/1/2021,Kapedo on the Baringo-Turkana border has been the site of intense inter-communal conflict primarily driven by competition over water points and pasture. ICG documented 239 deaths across northern Rift Valley since May 2021.,ICG; New Lines Magazine; New Humanitarian; ACLED
KEN-TRK-027,Turkana,1/1/2022,"Pokot militia from Tiaty constituency in Baringo County were identified by ICG and ACLED as the most active violent actor in the North Rift in 2022-2023, conducting raids on Turkana communities over water and pasture.",ACLED; ICG; New Humanitarian; Daily Nation
KEN-TRK-027,Turkana,5/1/2021,"Latest cycle of North Rift violence erupted May 2021 at Laikipia-Baringo border and spread to Baringo-Turkana boundary. At least 239 people were killed across the region by mid-2023. In Q1 2022 alone, Baringo fatalities more than doubled compared to all of 2021.",International Crisis Group; ACLED; Journal of Eastern African Studies; The New Humanitarian
KEN-TRK-028,Turkana,1/1/2022,"In 2023-2024, an Interpeace peace dialogue in Kapedo observed by The New Humanitarian revealed continued deep distrust between Pokot and Turkana communities, with disarmament remaining a key sticking point despite agreement on ceasing attacks.",The New Humanitarian
KEN-TRK-028,Turkana,1/1/2021,"A group of approximately 50 armed Pokot militia ambushed a civilian police truck near Lomelo village in Turkana North, 25 miles northwest of Kapedo. A 13-year-old boy was among those on the truck.",New Lines Magazine
KEN-TRK-029,Turkana,3/17/2023,"On March 17, 2023, RDU police responded to a bandit attack at Yatya in Baringo North on the Turkana border. The attack exemplified the ongoing armed conflict over pastoral water and pasture resources.",Daily Nation
KEN-TRK-029,Turkana,1/1/2019,"Todonyang community elder Muchu Lomorukai Kerio documented the severe impact of climate change on water and pasture in Todonyang, Lake Turkana, and resulting community disputes as pastoralists shift to fishing - itself creating new conflicts.","Water, Peace and Security Partnership - International Alert"
KEN-TRK-030,Turkana,2/13/2023,"The Kenyan government launched a major security operation in the North Rift on February 13, 2023, targeting pastoralist militias. Turkana Governor condemned army use of artillery on civilian areas in March 2023.",ACLED; ICG; Daily Nation; Standard Media
KEN-TRK-030,Turkana,1/1/2019,"About 700 IDP households at Canaan Camp in Kanamkemer, Lodwar were provided water kiosks by an aid agency. After handover to LOWASCO, governance failures led to water access conflicts.",International Alert / Water Peace and Security
KEN-TRK-031,Turkana,1/1/2019,"In Kibish, Turkana North, access to generator-powered borehole water was conditioned on payment. Those unable to pay were excluded from watering their livestock, and disputes arose over access scheduling and payment collection.",International Alert / Water Peace and Security
KEN-TRK-031,Turkana,1/1/2022,"The 2022-2023 drought -” the worst in 40 years, with four consecutive failed rainy seasons -” left over 4 million Kenyans in need of emergency water assistance, intensifying land-water conflicts across Turkana County.",Huduma Global; ICG; WFP; ACLED
KEN-TRK-032,Turkana,1/1/2009,Water release decisions from the Turkwel Gorge Hydroelectric Dam on the Turkwel River in Turkana County created conflicts with downstream pastoralist communities dependent on controlled river flow for water and grazing.,WRMA; KenGen; Turkana County; Nation Media
KEN-TRK-032,Turkana,1/1/2019,"Turkana North fishing communities conflict with KWS and Sibiloi National Park authorities over access to fish breeding grounds on Lake Turkana's protected islands, crucial for fish stocks.",Water Peace and Security - International Alert
KEN-TRK-033,Turkana,1/1/2019,Counter-intuitive pattern documented by SCCRR and academic researchers: violent raids between Turkana and Pokot increase during rainy seasons as communities compete over newly discovered aquifer recharge points.,SCCRR; ACCORD; Academic Literature
KEN-TRK-033,Turkana,1/1/2015,Introduction of Regional Rangeland Management Committees to regulate grazing access in Turkana conflicts with traditional communal rangeland practices and creates disputes over who controls migration routes and water-adjacent grazing areas.,International Alert / Water Peace and Security
KEN-TRK-034,Turkana,1/1/2018,"An organised water cartel known locally as nakana illegally connected pipes to Kalokol town's main water line, diverting water for private sale and depriving legitimate users.",International Alert / Water Peace and Security
KEN-TRK-034,Turkana,1/1/2019,"Turkana host community members reported exclusion from UNHCR-managed boreholes in Kakuma, triggering community protests and mediation by UNHCR and Turkana County Government.",UNHCR Kenya; Turkana County; Standard Media
KEN-TRK-035,Turkana,1/1/2020,"Five consecutive failed rainy seasons (2020-early 2023) - the longest dry spell in at least 40 years - drove mass livestock mortality, land abandonment, and forced migration in Turkana and adjacent counties, intensifying all land and water conflicts.",International Crisis Group; Kenya Meteorological Department; Climate Hazards Center
KEN-TRK-035,Turkana,6/1/2012,Tullow Oil's drilling at Ngamia 1 oil block in Lokichar Basin from June 2012 required water for drilling operations. Community conflicts arose over use of local water sources and perceived exclusion from economic benefits.,Frontiers Environmental Science; Business Daily Africa; Nation Media
KEN-TRK-036,Turkana,1/1/2014,"International Alert's WPS report documented that oil firms' water requirements in Turkana may fuel further conflict, as drilling and hydraulic fracturing compete with pastoral communities for the same aquifers.",International Alert / WPS; Business Daily Africa
KEN-TRK-036,Turkana,1/1/2015,"Deforestation for firewood around Kakuma Refugee Camp by the large refugee population led to land degradation, loss of vegetation cover for water catchment, and tension with host community members.",UNHCR Kenya; Kenya Forest Service; Turkana County
KEN-TRK-037,Turkana,7/1/2022,"In July-September 2022, following the driest rainy season on record, armed Pokot groups attacked smallholding communities along the Baringo-Turkana boundary, displacing hundreds of households.",Journal of Eastern African Studies; ICG; The New Humanitarian
KEN-TRK-037,Turkana,1/1/2016,"Two Turkana sub-clan groups competed violently over control of the Nadoto water point in Loima Sub-County, Turkana County, during an extreme dry season in 2016.",SCCRR Conflict Incidence Reports; Loima Sub-County Administration
KEN-TRK-038,Turkana,11/13/2012,The November 2012 Baragoi Massacre -” in which Samburu warriors killed over 40 Kenyan police officers responding to a Turkana-Samburu cattle raid -” marked a peak of violence in the contested water-pasture corridor.,ACCORD; Nation Media; Kenya Human Rights Commission
KEN-TRK-038,Turkana,1/1/2004,"The Karamoja Cluster cross-border conflict zone spans Kenya, Uganda, South Sudan, and Ethiopia, involving multiple ethnic pastoralist groups competing over water points, grazing land, and livestock. Defined as one of the most persistent conflict zones in East Africa.",International Alert / WPS; ACCORD
KEN-TRK-039,Turkana,1/1/2014,The LAPSSET corridor passes through Turkana County requiring large land acquisitions. Pastoralists whose traditional routes and water access points fall within the corridor have experienced conflicts over compensation and access restriction.,International Alert / WPS; NLC; Nation Media
KEN-TRK-039,Turkana,1/1/2010,Ambiguity in the boundary between Turkana and Marsabit counties in the Lake Turkana northern region created conflicts between fishing communities from each county over fishing territories on the lake.,Kenya Fisheries Service; County Boundary Commission; Nation Media
KEN-TRK-040,Turkana,1/1/2021,"Despite chronic drought, Turkana County has experienced erratic intense flooding events since 2021, creating conflicts over floodwater access for agriculture versus the displacement and property destruction floods cause.",International Alert / WPS; ACLED; Kenya Red Cross
KEN-TRK-040,Turkana,1/1/2015,"National and county government ASAL water security programmes in Turkana encountered land disputes when selecting sites for water pans, boreholes, and sand dams, with communities contesting ownership of proposed sites.",NDMA; Turkana County; WaterAid; Nation Media
KEN-TRK-041,Turkana,10/1/2019,"Flash flooding of the Kerio River in October 2019 displaced thousands of Turkana pastoralists camped on the floodplain, destroying homes and livestock camps and triggering competition for remaining dry land.",Kenya Red Cross; NDMA; Turkana County
KEN-TRK-041,Turkana,1/1/2015,"Women in Turkana County, who bear primary responsibility for fetching household water, face disproportionate burdens and specific conflicts when water points are controlled by men or women are excluded from water user association decision-making.",International Alert / WPS; Turkana Women Peace Caucus
KEN-TRK-042,Turkana,1/1/2015,"Dassanach community members from Ethiopia regularly cross into Kibish Sub-County in Turkana North pursuing water and grazing, creating cyclical violent conflicts with Turkana residents.",Wikipedia; Frontiers Environmental Science; WPS International Alert
KEN-TRK-042,Turkana,1/1/2019,Agricultural schemes established for Kalobeyei Settlement refugees along the Turkwel River created conflicts with Turkana host community members who felt their traditional Turkwel River water access and farmland was being allocated to refugees.,UNHCR Kenya; Turkana County; Standard Media
